x_mm,y_mm,z_mm
705.7073885777779,72.57857821226426,0.0
706.0741804543866,73.50724702407256,0.0
706.456385777945,74.42967912746498,0.0
706.8539416755359,75.34560002514921,0.0
707.2667676424524,76.2547405148253,0.0
707.6947656584792,77.15683772275962,0.0
708.1378204229645,78.05163611050324,0.0
708.5957997065962,78.93888844162244,0.0
709.0685548165711,79.818356697373,0.0
709.5559211699472,80.6898129308106,0.0
710.0577189682677,81.55304004982705,0.0
710.5737539650293,82.40783252080419,0.0
711.1038183162291,83.25399698595456,0.0
711.6476915031526,84.09135278892136,0.0
712.2051413156992,84.91973240475042,0.0
712.7759248842117,85.73898177225632,0.0
713.3597897469824,86.54896052764005,0.0
713.9564749414776,87.34954214087834,0.0
714.5657121074769,88.14061395632054,0.0
715.1872265906013,88.9220771412211,0.0
715.8207385341098,89.69384654785776,0.0
716.4659639486558,90.45585049533358,0.0
717.1226157509736,91.20803047774208,0.0
717.7904047635894,91.9503408059667,0.0
718.4690406688107,92.6827481907807,0.0
719.1582329114246,93.40523127512941,0.0
719.8576915457169,94.11778012352372,0.0
720.5671280235485,94.82039567636626,0.0
721.286255921307,95.51308917679668,0.0
722.0147916035714,96.19588157640051,0.0
722.7524548282082,96.86880293124575,0.0
723.4989692823356,97.53189178414843,0.0
724.2540630636664,98.18519455143212,0.0
725.0174690998988,98.8287649107214,0.0
725.7889255115873,99.46266319788342,0.0
726.5681759202455,100.08695581713098,0.0
727.3549697053904,100.70171466677803,0.0
728.1490622141646,101.30701658295202,0.0
728.9502149267945,101.90294280356082,0.0
729.7581955811984,102.48957845435449,0.0
730.5727782600786,103.0670120584781,0.0
731.3937434438112,103.63533507050242,0.0
732.2208780323682,104.19464143555561,0.0
733.0539753394125,104.74502717385522,0.0
733.8928350615706,105.28658999065725,0.0
734.7372632257382,105.81942891139802,0.0
735.5870721171186,106.34364394159711,0.0
736.4420801905098,106.85933575092005,0.0
737.3021119672081,107.3666053806732,0.0
738.1669979195864,107.86555397381711,0.0
739.0365743455208,108.35628252667199,0.0
739.9106832343139,108.83889166121536,0.0
740.7891721258718,109.3134814168873,0.0
741.6718939645908,109.78015106086069,0.0
742.5587069490687,110.23899891609543,0.0
743.4494743787943,110.69012220621487,0.0
744.3440644989194,111.13361691609164,0.0
745.242350342897,111.56957766647838,0.0
746.1442095799276,111.99809760456829,0.0
747.0495243546495,112.41926830300024,0.0
747.9581811354625,112.83317967400691,0.0
748.8700705613905,113.23991989257479,0.0
749.7850872918125,113.63957532961926,0.0
750.7031298588453,114.03223049404211,0.0
751.6241005226927,114.41796798287524,0.0
752.5479051302248,114.79686843876762,0.0
753.4744529769677,115.16901051410629,0.0
754.4036566726672,115.53447084111738,0.0
755.3354320105311,115.89332400733399,0.0
756.2696978402284,116.24564253585858,0.0
757.2063759446819,116.59149686988633,0.0
758.1453909206775,116.93095536096632,0.0
759.0866700634401,117.26408426009534,0.0
760.0301432553186,117.59094771064395,0.0
760.9757428583762,117.91160774304743,0.0
761.9234036107291,118.22612427110468,0.0
762.8730625265125,118.53455508960245,0.0
763.8246587993648,118.83695587299904,0.0
764.7781337093074,119.1333801749176,0.0
765.7334305329016,119.4238794282181,0.0
766.6904944565368,119.70850294542196,0.0
767.6492724927459,119.9872979192903,0.0
768.6097133994181,120.26030942336183,0.0
769.5717676017662,120.52758041226056,0.0
770.5353871169248,120.78915172160364,0.0
771.5005254810541,121.04506206734159,0.0
772.4671376788206,121.29534804437297,0.0
773.4351800751087,121.54004412427783,0.0
774.4046103488762,121.77918265202926,0.0
775.3753874289664,122.01279384152842,0.0
776.3474714318024,122.24090576983201,0.0
777.3208236008066,122.46354436992965,0.0
778.2954062474244,122.6807334219442,0.0
779.2711826933494,122.89249454387587,0.0
780.2481172125817,123.0988471878728,0.0
781.2261749735002,123.29980864154035,0.0
782.2053219820125,123.49539402942864,0.0
783.1855250258366,123.68561631391144,0.0
784.1667516198379,123.87048629528525,0.0
785.1489699523455,124.050012610929,0.0
786.1321488323492,124.22420173337606,0.0
787.1162576374834,124.39305796715969,0.0
788.1012662627052,124.5565834443025,0.0
789.0871450695588,124.71477811832654,0.0
790.0738648359195,124.8676397566672,0.0
791.0613967061101,125.01516393138061,0.0
792.0497121412741,125.1573440080357,0.0
793.0387828698829,125.29417113268872,0.0
794.0285808382632,125.42563421683758,0.0
795.0190781610098,125.55171992025788,0.0
796.010247071157,125.67241263162124,0.0
797.0020598699707,125.787694446799,0.0
797.9944888762188,125.8975451447522,0.0
798.9875063747747,126.00194216091069,0.0
799.9810845643958,126.10086055793934,0.0
800.9751955045168,126.19427299381667,0.0
801.9698110608081,126.28214968815313,0.0
802.9649028490978,126.36445838925678,0.0
803.9604421777784,126.44116434049704,0.0
804.9563999886184,126.51223024430728,0.0
805.9527467958372,126.57761622365544,0.0
806.9494526232509,126.63727978090907,0.0
807.9464869392781,126.69117575402228,0.0
808.9438185895982,126.73925626997708,0.0
809.9414157285341,126.78147069546282,0.0
810.9392457422009,126.8177655844513,0.0
811.9372751779483,126.84808462323936,0.0
812.9354696622231,126.87236857213327,0.0
813.9337938185071,126.89055520425299,0.0
814.9322111806754,126.9025792412141,0.0
815.9306841021197,126.90837228567817,0.0
816.9291736603049,126.90786275073954,0.0
817.9276395563995,126.90097578612668,0.0
818.9260400096009,126.8876332012065,0.0
819.9243316457506,126.86775338479399,0.0
820.9224693798192,126.84125122178388,0.0
821.9204062917979,126.80803800664097,0.0
822.9180934955275,126.76802135380491,0.0
823.915479999947,126.72110510506863,0.0
824.9125125621986,126.66718923355666,0.0
825.9091355319549,126.60616974371439,0.0
826.9052906863475,126.53793856804889,0.0
827.9009170548798,126.46238346115285,0.0
828.8959507335242,126.37938789127425,0.0
829.890324687412,126.28883092971617,0.0
830.8839685413585,126.19058713842296,0.0
831.8768083572454,126.08452645619727,0.0
832.8687663975609,125.97051408404995,0.0
833.8597608741802,125.84841037029177,0.0
834.8497056814697,125.71807069608153,0.0
835.8385101127774,125.57934536226483,0.0
836.8260785593307,125.43207947847819,0.0
837.8123101905618,125.27611285564657,0.0
838.7970986148523,125.11127990318042,0.0
839.7803315196956,124.93740953237443,0.0
840.7618902902916,124.75432506773423,0.0
841.7416496056105,124.56184416820244,0.0
842.7194770110109,124.35977876053543,0.0
843.6952324665858,124.14793498738625,0.0
844.6687678704983,123.92611317298969,0.0
845.639926556684,123.69410780957188,0.0
846.6085427662706,123.4517075672008,0.0
847.5744410924416,123.1986953310853,0.0
848.5374358990238,122.93484827182219,0.0
849.4973307133195,122.6599379538675,0.0
850.4539175940998,122.37373048790117,0.0
851.4069764762404,122.07598673333385,0.0
852.3562744941244,121.76646255780253,0.0
853.3015652867226,121.44490916111323,0.0
854.2425882881466,121.11107347170574,0.0
855.179068008631,120.76469862427437,0.0
856.1107133119694,120.40552452777355,0.0
857.0372166970158,120.03328853345633,0.0
857.9582535923412,119.6477262129877,0.0
858.8734816749793,119.24857225687421,0.0
859.7825402261441,118.83556150345711,0.0
860.6850495389679,118.40843010845889,0.0
861.5806103952805,117.96691686464492,0.0
862.4688036335422,117.51076467881256,0.0
863.3491898231689,117.0397222168853,0.0
864.2213090856792,116.55354572157209,0.0
865.0846810823474,116.05200102018983,0.0
865.938805202872,115.53486570919246,0.0
866.7831609842942,115.00193150438035,0.0
867.6172087861966,114.45300674913454,0.0
868.4403907610675,113.88791905960312,0.0
869.2521321480132,113.30651808459277,0.0
870.0518429195627,112.70867834814939,0.0
870.8389198067337,112.09430213521355,0.0
871.6127487217843,111.46332237257357,0.0
872.3727075904077,110.81570544936622,0.0
873.1181695954567,110.15145391404855,0.0
873.8485068226478,109.47060897862545,0.0
874.5630942853427,108.77325275652885,0.0
875.261314290791,108.05951015852288,0.0
875.9425610947197,107.32955037186818,0.0
876.6062457753374,106.58358785199887,0.0
877.2518012287755,105.8218827518262,0.0
877.8786871416758,105.04474070246786,0.0
878.486394850055,104.25251193566282,0.0
879.0744520049174,103.44558976342196,0.0
879.6424269364643,102.62440842363586,0.0
880.1899326111686,101.78944031747346,0.0
880.7166300839206,100.94119268591122,0.0
881.2222313605118,100.08020379263866,0.0
881.7065016047127,99.207038694738,0.0
882.1692606434194,98.3222846974052,0.0
882.6103837458957,97.42654659784357,0.0
883.029801677118,96.52044182580711,0.0
883.4275000470145,95.60459558855742,0.0
883.803517998175,94.67963612214089,0.0
884.1579462922506,93.74619014155128,0.0
884.4909248691596,92.80487856976441,0.0
884.8026399319581,91.85631260089687,0.0
885.0933204317121,90.90109008618597,0.0
885.3632340408378,89.93979230783863,0.0
885.6126829598902,88.97298126045354,0.0
885.8419996997386,88.00119743728536,0.0
886.0515429157672,87.02495812079326,0.0
886.2416933683982,86.04475612747905,0.0
886.4128500631671,85.06105897856327,0.0
886.56542661462,84.07430844798455,0.0
